#time	Mode	Power	Hset	Hac	Tset[C]	Tac[C]	R1[Ohm]	T1[C]	R2[Ohm]	T2[C]	R3[Ohm]	T3[C]	R4[Ohm]	T4[C]	R5[Ohm]	T5[C]	R1[Ohm]	T1[C]	R2[Ohm]	T2[C]	R3[Ohm]	T3[C]	R4[Ohm]	T4[C]	R5[Ohm]	T5[C]
1551882299.9048073	normal	1	nan	nan	80.0	79.9	1310.923	80.52365416823022	1311.756	80.74019888097837	1311.672	80.71948757117707	9999999000.0	9999	1312.809	81.01601256078084	1309.323	80.10528614359691	1312.221	80.8660425560256	1310.584	80.44002873289355	1312.493	80.94705697102972	1310.518	80.4219407524156
1551882315.4732635	normal	1	nan	nan	80.0	79.9	1310.968	80.53649964301894	1311.625	80.70270888423602	1311.53	80.68645461293318	9999999000.0	9999	1312.668	80.9745865957334	1309.352	80.11052852127978	1312.203	80.85896372141951	1310.587	80.43557226469557	1312.522	80.94653259946381	1310.54	80.41538716086234
1551882331.042315	normal	1	nan	nan	80.0	79.9	1311.022	80.55013163034664	1311.65	80.72420659231057	1311.603	80.70192238538675	9999999000.0	9999	1312.811	81.02440269323279	1309.397	80.12573146383238	1312.249	80.87102396729415	1310.623	80.4418637509666	1312.629	80.97825722978223	1310.726	80.46991344043226
1551882346.436901	normal	1	nan	nan	80.0	79.9	1311.187	80.59338734903167	1312.069	80.82566718536555	1311.93	80.78738969452206	9999999000.0	9999	1313.06	81.08182323705887	1309.423	80.12992539139032	1312.252	80.86866435048887	1310.637	80.45130100294955	1312.671	80.98350099982008	1310.874	80.50110917057145
1551882362.0015743	normal	1	nan	nan	80.0	79.9	1311.233	80.6101654779709	1312.349	80.88754133235989	1312.16	80.84926312097878	9999999000.0	9999	1313.256	81.13898258293557	1309.514	80.15299208859369	1312.406	80.90799151839337	1310.723	80.46886484960396	1312.935	81.05796343721613	1310.906	80.52811075583759
1551882377.574321	normal	1	nan	nan	80.0	79.9	1311.847	80.77244586359848	1313.199	81.12823235483165	1312.972	81.05612807517173	9999999000.0	9999	1314.109	81.3597633365548	1309.611	80.17658319631437	1312.687	80.98114130226759	1310.866	80.51107089465722	1313.589	81.22655892187413	1311.486	80.67465720829341
1551882392.9679675	normal	1	nan	nan	80.0	79.9	1312.014	80.81649103392692	1313.455	81.19640512858405	1313.229	81.12403715340224	9999999000.0	9999	1314.342	81.42007419753463	1309.74	80.21144592098244	1312.95	81.05560368620445	1311.029	80.54672362821475	1313.732	81.26641479489172	1311.692	80.72106057746896
1551882408.7122338	normal	1	nan	nan	80.0	80.0	1312.015	80.80416881371957	1313.072	81.09598188149039	1312.926	81.03829889721828	9999999000.0	9999	1314.049	81.34822573274687	1309.825	80.23713448098715	1313.12	81.09178672122653	1311.143	80.58185243506205	1313.63	81.24491354019801	1311.704	80.73154730531769
1551882424.282143	normal	1	nan	nan	80.0	80.0	1311.996	80.80416881371957	1313.199	81.11643336446059	1312.985	81.06189635933379	9999999000.0	9999	1313.996	81.32960832110439	1309.977	80.2767162265659	1313.033	81.07448174173624	1311.253	80.61278706835355	1313.633	81.23127867108133	1311.61	80.70506838191204
1551882439.67598	normal	1	nan	nan	80.0	80.0	1311.986	80.79604141716209	1312.789	81.01286626663295	1312.703	80.98690945483077	9999999000.0	9999	1313.8	81.27506777854887	1310.044	80.29427914048892	1313.104	81.096244079185	1311.323	80.62904097539013	1313.434	81.18119723343898	1311.498	80.67832750742218
1551882455.245462	normal	1	nan	nan	80.0	80.0	1311.986	80.8020714191357	1313.231	81.13609837194417	1313.011	81.0713353916176	9999999000.0	9999	1313.992	81.32777280735854	1310.147	80.32625961278518	1313.21	81.12377495349074	1311.408	80.65525712383624	1313.738	81.26248162803267	1311.713	80.72289575242712
1551882470.6394227	normal	1	nan	nan	80.0	80.0	1311.966	80.79394402776461	1313.055	81.0750061337153	1312.917	81.0456403117214	9999999000.0	9999	1313.951	81.31335094930955	1310.258	80.34775485915316	1313.122	81.1014880374637	1311.492	80.67124907705829	1313.592	81.22131476403729	1311.487	80.67780317872439
1551882486.2080476	normal	1	nan	nan	80.0	80.0	1311.949	80.79341968062408	1312.859	81.03069530662697	1312.76	81.00998216630978	9999999000.0	9999	1313.73	81.25828625523854	1310.351	80.36951238580195	1313.105	81.09755506797046	1311.544	80.68330863422261	1313.611	81.22367463402861	1311.515	80.68383296379852
1551882501.777371	normal	1	nan	nan	80.0	80.0	1312.226	80.86997524850494	1313.584	81.21947931077148	1313.338	81.16205636198492	9999999000.0	9999	1314.406	81.43502097334931	1310.413	80.39127005645014	1313.317	81.15025725018768	1311.641	80.71267121927804	1313.874	81.29971579626454	1311.992	80.8010227223458
1551882517.3464067	normal	1	nan	nan	80.0	80.1	1312.432	80.91769229215834	1313.498	81.20296027750464	1313.371	81.16048314463114	9999999000.0	9999	1314.437	81.44682110753729	1310.48	80.40673644001708	1313.503	81.20191145279887	1311.749	80.73600417478383	1314.158	81.36605659206771	1312.05	80.81753973565174
1551882532.9149492	normal	1	nan	nan	80.0	80.1	1312.555	80.95308725005225	1313.7	81.25671299182113	1313.574	81.22183917944449	9999999000.0	9999	1314.661	81.5039868018689	1310.616	80.44369877006375	1313.608	81.22419904981234	1311.87	80.77270803548481	1314.328	81.40643860170121	1312.158	80.84559263098072
1551882548.4838955	normal	1	nan	nan	80.0	80.1	1312.574	80.94338637182409	1313.787	81.27165902469142	1313.606	81.22891879563076	9999999000.0	9999	1314.619	81.48746633850124	1310.665	80.46100042905209	1313.757	81.25671299182113	1311.969	80.79918750376828	1314.208	81.39096751340139	1312.252	80.87207268641805
1551882563.8694596	normal	1	nan	nan	80.0	80.1	1312.483	80.9360451857101	1313.623	81.22682112998564	1313.51	81.20191145279887	9999999000.0	9999	1314.454	81.4502300430795	1310.808	80.48800168487196	1313.74	81.26090836260755	1312.037	80.81413145626857	1314.14	81.3681543465832	1312.321	80.88491952283948
1551882579.4465108	normal	1	nan	nan	80.0	80.2	1312.812	81.00945778470486	1314.071	81.35242122035424	1313.914	81.3007646521828	9999999000.0	9999	1315.008	81.59340852907371	1310.891	80.51552746520565	1313.945	81.31518645500091	1312.162	80.8490009429861	1314.608	81.48877748335372	1312.449	80.92398470126045
1551882595.0153816	normal	1	nan	nan	80.0	80.2	1312.856	81.01522598696147	1314.091	81.34848795056496	1313.955	81.31387537940236	9999999000.0	9999	1314.922	81.57452749253389	1311.02	80.54462639789017	1314.028	81.33904812227775	1312.26	80.87128614704397	1314.485	81.45783460433995	1312.525	80.94417292845174
1551882610.5822897	normal	1	nan	nan	80.0	80.2	1312.741	81.0029030217006	1313.846	81.29027610806497	1313.698	81.2501577356893	9999999000.0	9999	1314.616	81.49087531620535	1311.094	80.57031756156812	1313.919	81.30758222380973	1312.333	80.8927849576753	1314.485	81.45862128409499	1312.504	80.93788048070155
1551882626.3282008	normal	1	nan	nan	80.0	80.2	1312.81	81.01837228336854	1313.849	81.28240972194271	1313.653	81.23704726265078	9999999000.0	9999	1314.601	81.48694188070704	1311.186	80.59207656131503	1313.987	81.32226627227101	1312.381	80.91008898056543	1314.372	81.42872758577323	1312.578	80.94784352853594
1551882641.8970978	normal	1	nan	nan	80.0	80.2	1312.738	80.99503732335052	1313.524	81.20007601036878	1313.443	81.17831298540204	9999999000.0	9999	1314.351	81.42269643398868	1311.255	80.60570877911914	1313.933	81.31833303857138	1312.426	80.91349735944914	1314.214	81.38913196538579	1312.388	80.91271081016248
1551882657.4670053	normal	1	nan	nan	80.0	80.2	1312.77	81.01207969356665	1313.822	81.28555627413198	1313.695	81.24806005648907	9999999000.0	9999	1314.665	81.50949364144708	1311.297	80.62248697094765	1313.999	81.33406600161334	1312.461	80.92634435777927	1314.526	81.46045687092328	1312.566	80.95675786009133
1551882673.0352728	normal	1	nan	nan	80.0	80.2	1312.89	81.0409208290871	1313.708	81.24674900766831	1313.603	81.21921710324614	9999999000.0	9999	1314.633	81.49375983856316	1311.342	80.63480851010945	1314.029	81.3398347735997	1312.524	80.94312418632353	1314.439	81.44996781714326	1312.561	80.94863008622997
1551882688.7759326	normal	1	nan	nan	80.0	80.3	1312.643	80.97511097177494	1313.371	81.16598940866379	1313.366	81.17254449692109	9999999000.0	9999	1314.299	81.41246972364979	1311.402	80.64922739117947	1313.953	81.31990633148644	1312.518	80.94207544452956	1314.226	81.38965640757124	1312.469	80.92581998951755
1551882704.3481174	normal	1	nan	nan	80.0	80.3	1312.606	80.96383690531457	1313.476	81.20138704057126	1313.447	81.18067282451693	9999999000.0	9999	1314.242	81.39044307100676	1311.432	80.65447063634065	1313.917	81.31335094930955	1312.517	80.94784352853594	1314.157	81.37313651892464	1312.496	80.93394770697478
1551882719.9149592	normal	1	nan	nan	80.0	80.2	1312.619	80.96908065234629	1313.296	81.14186679645809	1313.265	81.13740937662624	9999999000.0	9999	1314.128	81.36028777405409	1311.496	80.66941393093339	1313.769	81.26772585155686	1312.544	80.94522167091463	1314.059	81.34534133812349	1312.395	80.90694278780938
1551882735.487201	normal	1	nan	nan	80.0	80.2	1312.737	80.98664726585821	1313.697	81.24963331576419	1313.617	81.22708333811806	9999999000.0	9999	1314.43	81.44682110753729	1311.519	80.67963832953228	1313.917	81.31177765953271	1312.565	80.95387380900138	1314.255	81.39830971571791	1312.539	80.94889227217027
1551882751.056003	normal	1	nan	nan	80.0	80.2	1312.754	81.01365283988753	1313.744	81.26536594993559	1313.675	81.24858447616361	9999999000.0	9999	1314.415	81.43108760470159	1311.54	80.68776543828426	1313.922	81.31518645500091	1312.569	80.95754441991903	1314.265	81.39699860695828	1312.616	80.97039159041151
1551882766.799061	normal	1	nan	nan	80.0	80.3	1312.548	80.94994101613838	1313.413	81.17437992397572	1313.368	81.16730042526933	9999999000.0	9999	1314.142	81.36998988288315	1311.549	80.6903870905553	1313.882	81.2965692305188	1312.596	80.96121503493578	1314.102	81.35792780596694	1312.526	80.94627041371223
1551882782.366788	normal	1	nan	nan	80.0	80.2	1312.586	80.95544692746444	1313.366	81.1615319561165	1313.343	81.15759891477182	9999999000.0	9999	1314.111	81.36081221163658	1311.556	80.69143575204907	1313.814	81.28450742306723	1312.586	80.95990410053082	1313.957	81.32016854704534	1312.537	80.94443511403597
1551882798.1128225	normal	1	nan	nan	80.0	80.2	1312.537	80.94076451775845	1313.345	81.16074534747122	1313.363	81.16467839258121	9999999000.0	9999	1313.946	81.31571088538658	1311.583	80.699562889969	1313.781	81.27139681300287	1312.588	80.95754441991903	1313.884	81.29866694068141	1312.463	80.92031412782035
1551882813.6777043	normal	1	nan	nan	80.0	80.2	1312.674	80.98874477822346	1313.78	81.2734945070988	1313.683	81.24412691159614	9999999000.0	9999	1314.347	81.42820313735274	1311.611	80.70559271495904	1313.913	81.30574672236526	1312.601	80.96672096514658	1314.247	81.39149195588016	1312.656	80.98271443378098
1551882829.2444367	normal	1	nan	nan	80.0	80.2	1312.869	81.03960986289121	1313.811	81.27585441455676	1313.754	81.2643171053146	9999999000.0	9999	1314.454	81.44760778465616	1311.654	80.71319555353784	1313.972	81.32698615892377	1312.667	80.98009254834369	1314.337	81.41692751655182	1312.762	81.00578711581238
1551882844.8186393	normal	1	nan	nan	80.0	80.3	1312.715	80.99058010264116	1313.543	81.21003985302377	1313.492	81.20348468998282	9999999000.0	9999	1314.179	81.3744476181646	1311.69	80.72368225629498	1313.96	81.32043076262516	1312.669	80.98350099982008	1314.1	81.363434400806	1312.674	80.98271443378098
1551882860.3862069	normal	1	nan	nan	80.0	80.3	1312.674	80.98454975483128	1313.437	81.18303266532621	1313.433	81.17595314798155	9999999000.0	9999	1314.122	81.36369661983827	1311.712	80.72892562021889	1313.933	81.3123020893745	1312.694	80.98376318854162	1314.097	81.36054999283488	1312.649	80.97144034123994
1551882875.9567347	normal	1	nan	nan	80.0	80.2	1312.573	80.95125194656976	1313.223	81.11564676660873	1313.289	81.14186679645809	9999999000.0	9999	1313.944	81.30784443838547	1311.708	80.73076079956809	1313.865	81.2965692305188	1312.677	80.98323881111946	1314.01	81.33931033936415	1312.713	80.99005572413125
1551882891.695669	normal	1	nan	nan	80.0	80.2	1312.65	80.97117815350157	1313.823	81.28450742306723	1313.697	81.2554019395493	9999999000.0	9999	1314.313	81.41561640036434	1311.746	80.7373150198946	1314.017	81.33563930205992	1312.728	80.99529951299246	1314.188	81.3862475348601	1312.837	81.03462819611605
1551882907.2704093	normal	1	nan	nan	80.0	80.2	1312.819	81.02754899842421	1313.797	81.2685124858076	1313.76	81.26274383901045	9999999000.0	9999	1314.345	81.41482973090342	1311.8	80.74806396952044	1313.936	81.31466202469846	1312.768	81.0052627348764	1314.236	81.38572309321853	1312.79	81.01339064878175
